num_caracteres,num_palavras,num_paragrafos,tamanho_medio_paragrafos,palavras_unicas,repeticao_palavras,tamanho_medio_palavras,erros_ortograficos,erros_gramaticais,erros_concordancia,nota
1706,257,4,425.75,181,1.419889502762431,5.642023346303502,13,1,0,1.5
977,153,4,243.5,121,1.2644628099173554,5.38562091503268,7,9,0,0.5
1203,200,3,400.3333333333333,142,1.408450704225352,5.02,2,5,0,1.0
1616,272,4,403.25,176,1.5454545454545454,4.9375,10,9,0,1.0
902,157,4,224.75,110,1.4272727272727272,4.738853503184713,4,6,0,1.0
764,135,3,254.0,87,1.5517241379310345,4.659259259259259,1,5,0,0.0
1245,208,4,310.5,135,1.5407407407407407,4.990384615384615,5,2,0,0.0
1167,188,4,291.0,118,1.5932203389830508,5.212765957446808,4,6,0,0.5
932,158,4,232.25,110,1.4363636363636363,4.905063291139241,4,5,0,1.0
1706,277,4,425.75,150,1.8466666666666667,5.162454873646209,8,4,0,2.0
1746,299,4,435.75,176,1.6988636363636365,4.839464882943144,13,16,0,0.5
762,127,4,189.75,92,1.3804347826086956,5.0078740157480315,0,3,0,0.0
1627,280,5,324.6,181,1.5469613259668509,4.807142857142857,4,7,0,0.0
1336,226,4,333.25,164,1.3780487804878048,4.867256637168142,11,19,0,0.5
1298,218,4,323.75,154,1.4155844155844155,4.958715596330276,6,9,0,1.0
2198,333,4,548.75,232,1.4353448275862069,5.603603603603603,10,5,0,0.0
1243,208,5,247.8,124,1.6774193548387097,4.975961538461538,3,8,0,1.0
2353,373,4,587.5,249,1.497991967871486,5.305630026809651,4,7,0,1.0
1127,189,4,281.0,131,1.4427480916030535,4.9523809523809526,8,14,0,1.0
1476,250,4,368.25,156,1.6025641025641026,4.908,1,3,0,2.0
1226,203,4,305.75,151,1.3443708609271523,5.044334975369458,1,4,0,1.0
1462,248,4,364.75,166,1.4939759036144578,4.895161290322581,10,6,0,1.0
669,112,4,166.5,82,1.3658536585365855,4.982142857142857,2,2,0,1.0
1013,171,4,252.5,129,1.3255813953488371,4.923976608187134,1,2,0,1.0
1494,224,5,298.0,166,1.3493975903614457,5.674107142857143,10,2,0,1.0
2109,350,3,702.3333333333334,220,1.5909090909090908,5.022857142857143,6,3,0,1.0
1733,291,4,432.5,167,1.7425149700598803,4.9553264604811,2,5,0,0.5
2210,367,6,367.5,219,1.6757990867579908,5.024523160762943,22,1,0,1.5
964,155,4,240.25,112,1.3839285714285714,5.225806451612903,3,1,0,1.0
1317,191,4,328.5,137,1.3941605839416058,5.900523560209424,5,0,0,0.5
1492,229,4,372.25,165,1.387878787878788,5.5196506550218345,11,7,0,0.0
1164,185,5,232.0,135,1.3703703703703705,5.291891891891892,9,6,0,1.0
1354,227,4,337.75,157,1.4458598726114649,4.960352422907489,5,7,0,0.5
1095,186,4,273.0,134,1.3880597014925373,4.89247311827957,2,3,0,1.5
1559,252,5,311.0,179,1.4078212290502794,5.186507936507937,3,4,0,1.0
1718,281,4,428.75,198,1.4191919191919191,5.110320284697509,3,5,0,1.5
955,152,4,238.0,98,1.5510204081632653,5.2894736842105265,0,0,0,1.0
477,76,3,158.33333333333334,60,1.2666666666666666,5.2894736842105265,1,7,0,0.0
1584,238,4,395.25,167,1.4251497005988023,5.659663865546219,8,4,0,0.5
1639,296,4,409.0,169,1.7514792899408285,4.537162162162162,2,6,0,1.0
863,132,4,215.0,92,1.434782608695652,5.537878787878788,1,1,0,0.5
977,178,4,243.5,112,1.5892857142857142,4.48876404494382,4,7,0,0.5
2500,353,5,499.2,247,1.4291497975708503,6.0821529745042495,10,5,0,1.5
1437,235,4,358.5,173,1.3583815028901733,5.114893617021276,9,11,0,0.5
1037,172,4,258.5,117,1.4700854700854702,5.034883720930233,7,6,0,1.5
1712,265,4,427.25,175,1.5142857142857142,5.456603773584906,4,14,0,1.5
1156,186,5,230.4,140,1.3285714285714285,5.220430107526882,1,2,0,0.5
1607,253,4,401.0,185,1.3675675675675676,5.335968379446641,13,16,0,0.5
1983,327,4,495.0,207,1.5797101449275361,5.064220183486238,3,5,0,0.5
1283,207,4,320.0,152,1.361842105263158,5.193236714975845,5,6,0,0.5
1700,253,4,424.25,174,1.4540229885057472,5.715415019762846,9,3,0,1.5
1493,249,4,372.5,169,1.4733727810650887,4.995983935742972,6,2,0,1.5
1820,292,3,606.0,199,1.4673366834170853,5.236301369863014,12,4,0,0.0
1832,298,5,365.6,199,1.4974874371859297,5.151006711409396,6,5,0,1.0
2526,364,5,504.4,256,1.421875,5.936813186813187,14,2,0,0.5
1578,251,4,393.75,179,1.4022346368715084,5.282868525896414,10,12,0,1.0
1260,188,5,251.2,139,1.3525179856115108,5.707446808510638,4,2,0,2.0
1280,208,4,319.25,140,1.4857142857142858,5.158653846153846,1,1,0,1.0
1237,216,5,246.6,149,1.4496644295302012,4.731481481481482,16,19,0,0.5
1870,288,4,466.75,189,1.5238095238095237,5.493055555555555,7,5,0,0.5
883,150,5,175.8,107,1.4018691588785046,4.8933333333333335,2,4,0,0.5
1039,154,4,259.0,106,1.4528301886792452,5.753246753246753,1,3,0,0.5
1723,277,4,430.0,178,1.5561797752808988,5.216606498194946,6,5,0,1.0
1281,217,4,319.5,144,1.5069444444444444,4.903225806451613,9,7,0,1.0
1276,197,3,424.6666666666667,138,1.4275362318840579,5.482233502538071,3,5,0,1.5
903,153,4,225.0,119,1.2857142857142858,4.908496732026144,3,7,0,1.5
1172,193,4,292.25,140,1.3785714285714286,5.067357512953368,3,4,0,1.0
1383,206,3,460.3333333333333,155,1.3290322580645162,5.703883495145631,3,5,0,1.0
1095,181,5,218.2,125,1.448,5.05524861878453,4,5,0,0.5
1415,231,3,471.0,162,1.4259259259259258,5.125541125541125,3,4,0,1.5
914,145,4,227.75,112,1.2946428571428572,5.310344827586207,8,5,0,0.5
1393,221,4,347.5,151,1.4635761589403973,5.3031674208144794,2,3,0,0.5
1142,190,4,284.75,129,1.4728682170542635,5.015789473684211,5,5,0,0.5
1199,193,4,299.0,124,1.5564516129032258,5.217616580310881,2,2,0,0.5
1348,232,4,336.25,153,1.5163398692810457,4.814655172413793,13,13,0,0.5
942,175,4,234.75,113,1.5486725663716814,4.388571428571429,0,2,0,1.5
1182,191,4,294.75,132,1.446969696969697,5.18848167539267,1,4,0,1.0
1604,251,4,400.25,165,1.5212121212121212,5.394422310756972,6,0,0,1.0
1067,177,5,212.6,118,1.5,5.033898305084746,0,7,0,0.5
1077,173,4,268.5,121,1.4297520661157024,5.23121387283237,0,4,0,1.0
1051,172,5,209.4,105,1.638095238095238,5.116279069767442,2,5,0,0.5
1171,180,4,292.0,128,1.40625,5.511111111111111,1,3,0,0.5
1145,184,4,285.5,126,1.4603174603174602,5.2228260869565215,1,2,0,1.0
995,151,3,331.0,108,1.3981481481481481,5.596026490066225,4,5,0,0.5
1695,259,4,423.0,166,1.5602409638554218,5.5482625482625485,2,5,0,1.0
1158,182,4,288.75,123,1.4796747967479675,5.368131868131868,3,4,0,1.0
1528,242,4,381.25,165,1.4666666666666666,5.318181818181818,4,4,0,1.0
2051,341,4,512.0,195,1.7487179487179487,5.0146627565982405,6,12,0,0.0
2330,370,3,776.0,233,1.5879828326180256,5.3,2,4,0,1.0
1290,209,4,321.75,140,1.4928571428571429,5.177033492822966,0,4,0,0.0
1673,263,4,417.5,179,1.4692737430167597,5.361216730038023,7,3,0,0.5
1232,195,4,307.25,135,1.4444444444444444,5.323076923076923,4,6,0,1.0
1113,176,4,277.5,121,1.4545454545454546,5.323863636363637,4,3,0,0.0
1672,278,5,333.6,180,1.5444444444444445,5.014388489208633,5,4,0,1.0
1619,259,4,404.0,186,1.39247311827957,5.243243243243243,3,6,0,1.0
746,134,1,746.0,98,1.3673469387755102,4.574626865671642,5,10,0,0.0
1083,181,5,215.8,128,1.4140625,4.988950276243094,3,3,0,0.0
1380,240,4,344.25,149,1.610738255033557,4.75,6,7,0,0.5
1052,179,4,262.25,121,1.4793388429752066,4.88268156424581,2,3,0,0.5
1835,300,4,458.0,190,1.5789473684210527,5.116666666666666,11,6,0,1.0
936,144,4,233.25,110,1.309090909090909,5.506944444444445,6,1,0,1.0
1129,196,4,281.5,135,1.451851851851852,4.76530612244898,1,7,0,1.0
1563,244,5,311.8,155,1.5741935483870968,5.409836065573771,2,5,0,0.0
1514,251,4,377.75,165,1.5212121212121212,5.031872509960159,4,4,0,1.0
1410,242,4,351.75,152,1.5921052631578947,4.822314049586777,12,15,0,1.0
1686,277,4,420.75,196,1.413265306122449,5.090252707581228,11,7,0,1.5
1668,269,4,416.25,187,1.4385026737967914,5.200743494423792,2,13,0,0.5
1724,302,4,430.25,189,1.597883597883598,4.711920529801325,7,8,0,1.5
905,161,4,225.5,124,1.2983870967741935,4.62111801242236,1,1,0,1.0
1681,281,4,419.5,181,1.5524861878453038,4.98576512455516,1,3,0,1.0
1391,222,4,347.0,152,1.4605263157894737,5.2657657657657655,4,6,0,1.0
1536,262,4,383.25,174,1.5057471264367817,4.866412213740458,16,11,0,1.0
1625,272,4,405.5,194,1.402061855670103,4.977941176470588,12,9,0,1.0
1981,331,4,494.5,205,1.6146341463414635,4.9879154078549846,7,5,0,1.0
1816,299,5,362.4,189,1.582010582010582,5.076923076923077,6,5,0,2.0
1343,220,4,335.0,147,1.4965986394557824,5.1045454545454545,5,7,0,1.0
624,106,3,207.33333333333334,82,1.2926829268292683,4.89622641509434,0,1,0,0.5
1259,195,3,419.0,145,1.3448275862068966,5.456410256410257,10,14,0,1.0
2000,354,3,666.0,217,1.631336405529954,4.646892655367232,9,4,0,1.5
1329,214,3,442.3333333333333,143,1.4965034965034965,5.214953271028038,1,3,0,0.0
1458,242,4,363.75,149,1.6241610738255035,5.028925619834711,1,7,0,2.0
1632,252,4,407.25,181,1.3922651933701657,5.4603174603174605,8,6,0,0.5
1855,303,6,308.3333333333333,194,1.5618556701030928,5.122112211221122,4,0,0,1.5
1360,212,4,339.25,144,1.4722222222222223,5.419811320754717,8,1,0,1.0
1596,252,4,398.25,176,1.4318181818181819,5.333333333333333,1,8,0,1.5
2416,382,4,603.25,249,1.534136546184739,5.319371727748691,11,3,0,1.0
1723,298,4,430.0,183,1.6284153005464481,4.781879194630872,1,7,0,1.0
1856,279,4,463.25,186,1.5,5.655913978494624,5,0,0,2.0
2372,384,5,473.6,232,1.6551724137931034,5.177083333333333,3,9,0,1.0
1528,253,6,253.83333333333334,162,1.5617283950617284,5.0395256916996045,2,3,0,1.0
1558,247,4,388.75,172,1.436046511627907,5.3076923076923075,12,10,0,0.5
1370,235,6,227.5,147,1.598639455782313,4.834042553191489,2,4,0,1.0
1488,238,5,296.8,155,1.5354838709677419,5.239495798319328,2,10,0,1.5
1970,313,4,491.75,203,1.541871921182266,5.2907348242811505,6,4,0,1.0
1058,178,4,263.75,123,1.4471544715447155,4.949438202247191,0,3,0,0.5
1086,174,4,270.75,133,1.3082706766917294,5.247126436781609,2,3,0,0.0
1217,187,4,303.5,147,1.272108843537415,5.508021390374331,6,16,0,0.5
1396,220,5,278.4,160,1.375,5.340909090909091,11,3,0,1.0
1906,289,4,475.75,196,1.4744897959183674,5.598615916955017,4,2,0,1.5
1542,244,4,384.75,159,1.5345911949685536,5.323770491803279,3,4,0,1.0
1115,181,5,222.2,115,1.5739130434782609,5.165745856353591,2,9,0,0.0
2061,315,4,514.5,227,1.3876651982378854,5.536507936507936,11,8,0,1.5
1188,198,3,395.3333333333333,136,1.4558823529411764,5.005050505050505,5,17,0,0.0
2671,434,5,533.4,264,1.643939393939394,5.152073732718894,7,4,0,0.5
1792,287,4,447.25,180,1.5944444444444446,5.2473867595818815,1,7,0,0.5
2275,382,5,454.2,235,1.625531914893617,4.958115183246074,5,6,0,1.0
2687,413,4,671.0,249,1.6586345381526104,5.506053268765133,6,6,0,1.0
1263,212,4,315.0,145,1.4620689655172414,4.962264150943396,4,3,0,0.0
1935,296,5,386.2,189,1.566137566137566,5.530405405405405,10,8,0,0.5
1472,251,5,293.6,164,1.5304878048780488,4.868525896414343,4,5,0,0.5
1481,250,4,369.5,167,1.4970059880239521,4.92,7,6,0,0.5
1858,299,4,463.75,207,1.4444444444444444,5.214046822742475,3,8,0,1.0
2177,335,4,543.5,215,1.558139534883721,5.501492537313433,5,1,0,1.5
1738,272,4,433.75,186,1.4623655913978495,5.389705882352941,6,6,0,1.0
2288,382,4,571.25,233,1.6394849785407726,4.989528795811518,7,7,0,0.5
1263,190,4,315.0,138,1.3768115942028984,5.647368421052631,1,6,0,0.5
2077,336,5,414.6,199,1.6884422110552764,5.181547619047619,7,6,0,2.0
1254,214,4,312.75,144,1.4861111111111112,4.864485981308412,2,2,0,1.5
1496,241,4,373.25,169,1.4260355029585798,5.211618257261411,11,4,0,1.0
1502,271,4,374.75,169,1.6035502958579881,4.546125461254612,13,2,0,0.5
1871,326,4,467.0,186,1.7526881720430108,4.742331288343558,7,2,0,0.5
1481,248,11,133.72727272727272,173,1.4335260115606936,4.975806451612903,5,6,0,0.5
1402,241,3,466.6666666666667,170,1.4176470588235295,4.821576763485477,3,2,0,1.5
1566,249,4,390.75,183,1.360655737704918,5.289156626506024,3,2,0,0.5
1048,182,4,261.25,131,1.3893129770992367,4.763736263736264,1,4,0,1.0
1016,165,4,253.25,127,1.2992125984251968,5.163636363636364,7,6,0,1.0
2145,345,5,428.2,232,1.4870689655172413,5.217391304347826,6,7,0,1.0
2476,407,5,494.4,257,1.583657587548638,5.081081081081081,10,5,0,2.0
1401,222,4,349.5,154,1.4415584415584415,5.3108108108108105,1,2,0,1.0
1689,279,4,421.5,195,1.4307692307692308,5.053763440860215,5,7,0,1.0
1882,322,4,469.75,206,1.5631067961165048,4.8478260869565215,6,4,0,1.0
1766,305,4,440.75,186,1.6397849462365592,4.777049180327869,9,12,0,1.0
1628,299,5,324.8,181,1.6519337016574585,4.444816053511706,5,3,0,0.5
1830,320,6,304.1666666666667,199,1.6080402010050252,4.715625,2,5,0,0.5
1844,307,3,614.0,197,1.5583756345177664,5.006514657980456,8,1,0,1.5
1330,212,4,331.75,162,1.308641975308642,5.268867924528302,0,0,0,1.0
1176,196,5,234.4,135,1.451851851851852,5.0,4,14,0,0.5
1246,200,4,310.75,140,1.4285714285714286,5.235,6,15,0,0.0
1449,223,4,361.5,146,1.5273972602739727,5.497757847533633,4,7,0,1.0
1655,270,5,330.2,167,1.6167664670658684,5.12962962962963,7,8,0,1.5
1701,260,4,424.5,157,1.6560509554140128,5.542307692307692,1,11,0,0.5
891,153,1,891.0,101,1.5148514851485149,4.823529411764706,6,6,0,0.0
815,133,4,203.0,83,1.6024096385542168,5.135338345864661,1,1,0,0.5
1567,251,4,391.0,173,1.4508670520231215,5.239043824701195,6,8,0,0.5
1289,184,4,321.5,138,1.3333333333333333,6.010869565217392,3,3,0,1.0
1520,242,4,379.25,169,1.4319526627218935,5.2809917355371905,4,11,0,1.0
804,136,4,200.25,104,1.3076923076923077,4.911764705882353,2,8,0,0.5
1513,244,4,377.5,167,1.4610778443113772,5.200819672131147,5,4,0,1.5
1053,185,4,262.5,115,1.608695652173913,4.697297297297298,9,7,0,1.0
1902,285,5,379.6,182,1.565934065934066,5.67719298245614,2,6,0,1.5
1552,251,4,387.25,162,1.5493827160493827,5.175298804780876,4,22,0,0.5
1108,187,4,276.25,127,1.4724409448818898,4.93048128342246,1,3,0,0.5
1410,234,4,351.75,149,1.570469798657718,5.0256410256410255,2,3,0,1.0
2202,360,5,439.6,209,1.722488038277512,5.116666666666666,6,16,0,1.0
1604,249,4,400.25,174,1.4310344827586208,5.4417670682730925,6,6,0,0.5
1625,255,4,405.5,169,1.5088757396449703,5.372549019607843,7,4,0,1.0
1043,173,3,347.0,110,1.5727272727272728,5.034682080924855,2,4,0,1.0
1828,323,5,364.8,186,1.7365591397849462,4.662538699690402,8,3,0,2.0
1743,301,6,289.6666666666667,183,1.644808743169399,4.794019933554817,4,3,0,1.5
1364,220,4,340.25,149,1.476510067114094,5.2,5,2,0,0.5
2223,378,4,555.0,235,1.6085106382978724,4.873015873015873,9,5,0,2.0
1281,203,3,426.3333333333333,147,1.380952380952381,5.310344827586207,11,11,0,0.5
1990,314,5,397.2,194,1.6185567010309279,5.340764331210191,7,4,0,1.0
1977,317,4,493.5,181,1.7513812154696133,5.2239747634069404,8,9,0,1.0
1618,253,5,322.8,171,1.4795321637426901,5.395256916996048,17,12,0,1.0
762,129,1,762.0,89,1.449438202247191,4.906976744186046,0,2,0,1.0
2582,409,4,644.75,269,1.520446096654275,5.315403422982885,11,5,0,1.0
2214,372,5,442.0,197,1.8883248730964468,4.951612903225806,6,22,0,0.5
1181,193,4,294.5,137,1.4087591240875912,5.124352331606218,9,6,0,0.5
1299,217,5,259.0,134,1.6194029850746268,4.990783410138249,2,5,0,0.0
2540,437,5,507.2,255,1.7137254901960783,4.807780320366133,10,22,0,1.0
1850,305,4,461.75,197,1.5482233502538072,5.0688524590163935,10,8,0,1.5
2287,368,5,456.6,236,1.5593220338983051,5.217391304347826,7,1,0,1.5
1648,270,4,411.25,167,1.6167664670658684,5.107407407407408,6,2,0,1.0
766,136,3,254.66666666666666,93,1.4623655913978495,4.639705882352941,1,0,0,0.5
1504,224,4,375.25,161,1.391304347826087,5.714285714285714,1,3,0,1.5
2049,329,4,511.5,221,1.48868778280543,5.218844984802431,13,4,0,1.0
2078,340,4,518.75,217,1.566820276497696,5.108823529411764,10,2,0,0.0
1806,301,4,450.75,195,1.5435897435897437,5.003322259136213,4,3,0,1.0
2057,347,5,410.6,215,1.613953488372093,4.930835734870317,5,3,0,2.0
542,82,2,270.5,68,1.2058823529411764,5.621951219512195,3,3,0,0.5
1261,204,8,156.75,156,1.3076923076923077,5.171568627450981,9,11,0,0.5
1466,247,7,208.57142857142858,145,1.703448275862069,4.939271255060729,8,6,0,1.5
1370,211,4,341.75,152,1.388157894736842,5.492890995260663,0,4,0,1.0
1062,183,6,176.16666666666666,122,1.5,4.808743169398907,2,5,0,1.0
1695,265,6,281.6666666666667,174,1.5229885057471264,5.39622641509434,4,2,0,1.5
881,147,2,440.0,104,1.4134615384615385,5.0,4,8,0,1.0
1348,228,4,336.25,157,1.4522292993630572,4.916666666666667,2,3,0,1.0
1165,221,3,387.6666666666667,127,1.7401574803149606,4.276018099547511,2,5,0,0.0
2310,401,3,769.3333333333334,225,1.7822222222222222,4.763092269326683,2,2,0,1.0
1604,248,8,199.625,179,1.3854748603351956,5.471774193548387,10,4,0,1.5
1287,216,3,428.3333333333333,149,1.4496644295302012,4.962962962962963,2,7,0,0.5
1540,254,4,384.25,177,1.4350282485875707,5.062992125984252,5,4,0,1.0
1516,253,4,378.25,163,1.5521472392638036,4.996047430830039,3,10,0,0.0
1322,207,4,329.75,143,1.4475524475524475,5.381642512077295,3,2,0,1.0
1262,192,4,314.75,140,1.3714285714285714,5.578125,4,3,0,1.5
1861,288,5,371.4,195,1.476923076923077,5.465277777777778,4,2,0,2.0
1573,250,4,392.5,180,1.3888888888888888,5.296,4,7,0,1.5
2038,315,5,406.8,199,1.5829145728643217,5.46984126984127,7,2,0,2.0
1414,225,4,352.75,160,1.40625,5.2844444444444445,5,5,0,0.5
2138,346,4,533.75,209,1.6555023923444976,5.182080924855492,6,5,0,1.0
1352,216,5,269.6,149,1.4496644295302012,5.263888888888889,2,3,0,1.0
1605,247,3,534.3333333333334,185,1.335135135135135,5.502024291497976,6,2,0,1.0
1364,206,4,340.25,151,1.3642384105960266,5.62621359223301,6,3,0,1.0
1818,304,4,453.75,211,1.4407582938388626,4.980263157894737,7,11,0,1.0
1450,232,4,361.75,170,1.3647058823529412,5.254310344827586,3,6,0,0.5
1695,266,5,338.2,179,1.4860335195530727,5.37218045112782,9,6,0,1.0
1708,267,5,340.8,179,1.4916201117318435,5.397003745318352,6,4,0,0.5
1394,224,4,347.75,149,1.5033557046979866,5.223214285714286,5,5,0,1.5
1171,198,4,292.0,132,1.5,4.914141414141414,4,8,0,0.5
1133,170,4,282.5,126,1.3492063492063493,5.670588235294118,0,0,0,0.5
1164,197,4,290.25,132,1.4924242424242424,4.908629441624366,4,8,0,1.0
1228,195,4,306.25,138,1.4130434782608696,5.287179487179487,1,6,0,0.5
1529,237,4,381.5,140,1.6928571428571428,5.451476793248945,1,4,0,1.0
1868,277,4,466.25,194,1.4278350515463918,5.747292418772563,3,5,0,2.0
613,108,3,203.66666666666666,79,1.3670886075949367,4.685185185185185,1,5,0,0.5
1072,166,5,213.6,134,1.2388059701492538,5.463855421686747,6,0,0,0.5
1594,235,4,397.75,168,1.3988095238095237,5.782978723404256,7,4,0,1.5
1200,198,3,399.3333333333333,141,1.4042553191489362,5.05050505050505,6,6,0,0.5
1384,228,4,345.25,154,1.4805194805194806,5.065789473684211,1,2,0,1.0
1437,228,4,358.5,143,1.5944055944055944,5.302631578947368,9,7,0,0.5
1920,294,4,479.25,211,1.3933649289099526,5.5272108843537415,11,1,0,1.0
1447,238,4,361.0,164,1.451219512195122,5.084033613445378,8,7,0,1.0
1945,285,4,485.5,196,1.4540816326530612,5.828070175438596,10,3,0,1.5
1524,248,4,380.25,174,1.4252873563218391,5.145161290322581,4,5,0,0.5
1094,180,3,364.0,135,1.3333333333333333,5.0777777777777775,12,8,0,1.0
1578,258,4,393.75,168,1.5357142857142858,5.116279069767442,5,3,0,1.0
1478,262,4,368.75,165,1.587878787878788,4.645038167938932,16,25,0,0.5
733,119,2,366.0,92,1.2934782608695652,5.168067226890757,3,5,0,0.0
1079,174,4,269.0,123,1.4146341463414633,5.206896551724138,4,5,0,1.0
1246,193,4,310.75,145,1.3310344827586207,5.44559585492228,5,7,0,1.0
861,141,4,214.5,112,1.2589285714285714,5.113475177304965,0,3,0,0.5
1641,271,4,409.5,168,1.6130952380952381,5.055350553505535,4,6,0,1.0
1639,274,4,409.0,171,1.6023391812865497,4.981751824817518,11,14,0,1.5
1915,310,5,382.2,187,1.6577540106951871,5.17741935483871,14,15,0,0.5
1007,165,4,251.0,134,1.2313432835820894,5.1030303030303035,12,6,0,1.5
1874,292,5,374.0,193,1.5129533678756477,5.417808219178082,11,12,0,2.0
991,165,4,247.0,103,1.6019417475728155,5.012121212121212,1,5,0,0.5
2249,356,4,561.5,241,1.4771784232365146,5.311797752808989,17,15,0,1.0
1651,250,4,412.0,182,1.3736263736263736,5.6,8,13,0,0.5
388,64,1,388.0,55,1.1636363636363636,5.0625,1,2,0,0.0
1219,206,4,304.0,131,1.5725190839694656,4.91747572815534,4,2,0,0.5
1571,251,5,313.4,170,1.4764705882352942,5.258964143426295,5,10,0,1.0
1083,167,1,1083.0,132,1.2651515151515151,5.479041916167665,3,7,0,0.5
1758,286,4,438.75,200,1.43,5.13986013986014,14,5,0,1.0
767,121,3,255.0,85,1.423529411764706,5.347107438016529,1,2,0,1.0
1180,194,4,294.25,138,1.4057971014492754,5.082474226804123,4,2,0,1.0
2363,385,7,336.7142857142857,255,1.5098039215686274,5.14025974025974,7,8,0,1.0
1285,211,5,256.2,142,1.4859154929577465,5.075829383886256,1,9,0,1.0
1338,211,4,333.75,146,1.4452054794520548,5.3364928909952605,3,4,0,1.5
1527,253,4,381.0,160,1.58125,5.023715415019763,6,11,0,1.0
1720,287,6,285.8333333333333,189,1.5185185185185186,4.989547038327526,5,7,0,2.0
1553,252,4,387.5,167,1.5089820359281436,5.158730158730159,5,11,0,1.0
1112,188,4,277.25,117,1.606837606837607,4.909574468085107,2,7,0,1.5
1667,245,3,555.0,165,1.4848484848484849,5.808163265306122,8,6,0,1.5
1176,195,4,293.25,125,1.56,5.030769230769231,2,6,0,0.5
2193,337,5,437.8,231,1.4588744588744589,5.501483679525222,11,5,0,1.0
1751,286,4,437.0,165,1.7333333333333334,5.115384615384615,6,7,0,0.5
1994,334,4,497.75,210,1.5904761904761904,4.970059880239521,8,6,0,1.0
1504,256,3,500.6666666666667,168,1.5238095238095237,4.859375,1,7,0,1.0
974,159,3,324.0,122,1.3032786885245902,5.1069182389937104,4,4,0,0.5
1339,229,5,267.0,162,1.4135802469135803,4.851528384279476,4,4,0,0.5
1852,288,5,369.6,193,1.4922279792746114,5.427083333333333,6,4,0,1.5
1448,229,5,288.8,172,1.3313953488372092,5.314410480349345,4,8,0,1.0
629,104,3,209.0,82,1.2682926829268293,5.0576923076923075,0,1,0,0.5
1279,212,4,319.0,140,1.5142857142857142,5.018867924528302,4,1,0,1.0
1689,279,4,421.5,192,1.453125,5.053763440860215,7,7,0,1.0
1780,298,5,355.2,197,1.5126903553299493,4.969798657718121,7,9,0,1.5
2628,449,5,524.8,289,1.5536332179930796,4.850779510022272,8,18,0,1.0
1082,179,4,269.75,117,1.5299145299145298,5.050279329608938,2,1,0,1.5
1803,307,4,450.0,201,1.527363184079602,4.872964169381108,4,2,0,1.0
839,149,1,839.0,102,1.4607843137254901,4.624161073825503,0,4,0,0.5
789,151,2,394.0,95,1.5894736842105264,4.231788079470198,0,5,0,0.0
1236,205,5,246.4,144,1.4236111111111112,5.034146341463415,2,6,0,1.0
1787,295,4,446.0,185,1.5945945945945945,5.054237288135593,4,8,0,1.0
1255,197,5,250.2,132,1.4924242424242424,5.375634517766497,3,3,0,1.5
832,145,3,276.6666666666667,104,1.3942307692307692,4.731034482758621,1,2,0,1.5
1645,276,4,410.5,165,1.6727272727272726,4.9601449275362315,1,9,0,0.5
1504,265,8,187.125,160,1.65625,4.679245283018868,4,2,0,1.0
1354,203,4,337.75,146,1.3904109589041096,5.674876847290641,2,1,0,1.0
2128,341,6,353.8333333333333,223,1.5291479820627802,5.2404692082111435,2,4,0,1.0
1052,185,5,209.6,129,1.434108527131783,4.686486486486486,1,5,0,0.5
1240,194,4,309.25,138,1.4057971014492754,5.391752577319588,0,6,0,1.0
